,price,total_square,rooms,floor
0,63000000,137.0,3.0,6.0
2,16004680,76.0,3.0,6.0
3,7841776,24.0,1.0,10.0
4,120000000,126.0,3.0,16.0
5,13300000,74.0,3.0,14.0
6,9500000,65.0,2.0,3.0
7,15000000,87.0,3.0,11.0
8,7135671,35.8,2.0,11.0
9,31500000,68.3,2.0,4.0
10,20700000,74.7,3.0,14.0
11,13442826,51.9,2.0,21.0
12,14000000,53.0,2.0,14.0
13,7200000,34.8,1.0,16.0
14,11800000,50.0,1.0,12.0
15,7550000,42.0,1.0,8.0
16,111264064,107.0,2.0,2.0
17,65000000,97.0,2.0,4.0
18,37569823,140.1,4.0,12.0
19,9700000,36.0,1.0,11.0
20,11500000,42.0,1.0,10.0
21,8800000,52.0,2.0,3.0
22,20640000,37.48,1.0,17.0
23,27500000,114.6,3.0,6.0
24,11500000,45.3,2.0,2.0
25,18900000,59.7,3.0,3.0
26,170663394,154.68,3.0,16.0
27,15700000,92.8,3.0,4.0
28,23123514,66.9,2.0,19.0
29,12500000,75.0,3.0,7.0
30,11218713,39.16,1.0,24.0
31,15000000,52.4,2.0,5.0
32,65000000,142.0,5.0,3.0
33,7026534,20.63,1.0,3.0
34,11300000,37.1,2.0,8.0
35,10260000,54.0,2.0,2.0
36,19362780,62.1,2.0,20.0
37,25856480,64.48,2.0,19.0
38,50000000,120.0,3.0,24.0
39,12925115,35.0,1.0,7.0
40,6600000,39.2,1.0,12.0
41,7199603,20.1,1.0,24.0
42,13550000,63.1,3.0,4.0
43,22050000,46.07,2.0,5.0
44,10200000,34.0,1.0,8.0
45,8300000,38.5,1.0,8.0
46,13500000,68.0,3.0,3.0
47,12212640,55.8,2.0,21.0
48,14400000,86.5,3.0,12.0
49,24105540,47.8,1.0,2.0
50,18300000,73.0,3.0,5.0
51,14675000,81.0,3.0,19.0
53,8600000,31.0,1.0,9.0
54,10788015,34.9,1.0,13.0
55,46850000,70.2,2.0,19.0
56,8900000,34.5,1.0,2.0
57,14500000,89.9,3.0,1.0
58,17900000,105.5,3.0,2.0
59,15700000,66.2,3.0,9.0
60,19260000,38.61,1.0,11.0
61,15500000,32.0,1.0,11.0
62,16500000,68.4,3.0,4.0
63,198915500,162.0,4.0,13.0
64,28500000,67.7,2.0,8.0
65,14523000,44.4,1.0,3.0
66,68931120,57.0,1.0,2.0
67,6400000,29.7,1.0,2.0
68,14139310,73.8,3.0,16.0
69,18192360,45.49,2.0,20.0
70,9700000,38.0,1.0,14.0
71,6600000,34.0,1.0,10.0
72,17500000,55.9,2.0,12.0
73,6650384,54.44,2.0,19.0
74,73000000,129.6,3.0,8.0
75,10900000,33.0,1.0,6.0
76,35000000,100.5,4.0,2.0
77,10569641,25.8,1.0,30.0
78,125000000,160.0,4.0,2.0
79,17097300,82.5,4.0,7.0
80,10307606,25.2,1.0,14.0
81,59000000,118.5,4.0,2.0
82,33200000,81.4,3.0,4.0
83,12490000,40.2,3.0,2.0
84,27487880,102.0,3.0,32.0
85,10200000,35.0,1.0,5.0
86,8199999,43.0,2.0,5.0
87,15000000,40.5,1.0,9.0
88,30904483,58.9,2.0,7.0
89,15000000,87.1,3.0,2.0
90,13000000,40.0,1.0,18.0
91,9400000,50.9,2.0,6.0
92,38700000,97.0,3.0,29.0
93,34200000,75.38,3.0,12.0
94,14054274,44.2,2.0,15.0
95,126986160,181.0,4.0,34.0
96,7500000,38.3,1.0,24.0
97,4499000,28.2,1.0,9.0
98,65718900,159.9,3.0,23.0
99,59725032,107.0,4.0,7.0
100,41020512,71.0,2.0,8.0
102,13300000,68.5,2.0,2.0
103,12800000,50.2,2.0,7.0
104,8999900,45.0,1.0,19.0
